qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcovhsp	staxids	sphylums	sgenus	sspecies	stitle
Pcub-MSU1_004_001126.1	KAG1693698.1	73.5	234	313	657	1.44e-115	352	71.2	4784	Oomycota	Phytophthora	Phytophthora capsici	KAG1693698.1 hypothetical protein DVH05_023099 [Phytophthora capsici]
Pcub-MSU1_004_001126.1	KAH7479814.1	76.2	223	313	647	4.38e-115	350	70.9	164328	Oomycota	Phytophthora	Phytophthora ramorum	KAH7479814.1 Cilia- and flagella-associated protein 52 [Phytophthora ramorum]
Pcub-MSU1_004_001126.1	XP_002905542.1	74.8	234	313	657	5.73e-115	350	71.2	4787;403677	Oomycota	Phytophthora	Phytophthora infestans	XP_002905542.1 cleavage induced conserved hypothetical protein [Phytophthora infestans T30-4]
Pcub-MSU1_004_001126.1	KAE8883446.1	74.0	242	313	949	2.28e-114	356	73.8	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE8883446.1 hypothetical protein PF003_g32521 [Phytophthora fragariae]
Pcub-MSU1_004_001126.1	KAE9046264.1	74.0	242	313	956	2.62e-114	356	73.8	129364	Oomycota	Phytophthora	Phytophthora rubi	KAE9046264.1 hypothetical protein PR002_g1755 [Phytophthora rubi]
Pcub-MSU1_004_001126.1	KAE9140849.1	74.0	242	313	956	2.62e-114	356	73.8	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE9140849.1 hypothetical protein PF010_g58 [Phytophthora fragariae]
Pcub-MSU1_004_001126.1	KAK1944615.1	74.3	237	313	953	2.65e-113	353	71.9	4793	Oomycota	Phytophthora	Phytophthora citrophthora	KAK1944615.1 Cilia- and flagella-associated protein 52 [Phytophthora citrophthora]
Pcub-MSU1_004_001126.1	ETI38632.1	74.4	234	313	656	1.39e-112	344	71.2	1317064;1317065	Oomycota	Phytophthora	Phytophthora nicotianae	ETI38632.1 hypothetical protein F443_15707 [Phytophthora nicotianae P1569]
Pcub-MSU1_004_001126.1	ETM38661.1	74.4	234	313	656	1.39e-112	344	71.2	4792	Oomycota	Phytophthora	Phytophthora nicotianae	ETM38661.1 hypothetical protein L914_15104 [Phytophthora nicotianae]
Pcub-MSU1_004_001126.1	ETK78832.1	74.4	234	313	656	1.39e-112	344	71.2	4792;1317063	Oomycota	Phytophthora	Phytophthora nicotianae	ETK78832.1 hypothetical protein L915_15248 [Phytophthora nicotianae]
Pcub-MSU1_004_001126.1	KUF97973.1	73.9	234	313	656	7.79e-112	342	71.2	4792	Oomycota	Phytophthora	Phytophthora nicotianae	KUF97973.1 Clathrin heavy chain [Phytophthora nicotianae]
Pcub-MSU1_004_001126.1	XP_008895259.1	73.9	234	313	656	1.10e-111	342	71.2	761204	Oomycota	Phytophthora	Phytophthora nicotianae	XP_008895259.1 hypothetical protein PPTG_04731 [Phytophthora nicotianae INRA-310]
Pcub-MSU1_004_001126.1	ETO67387.1	73.9	234	313	656	2.19e-111	341	71.2	1317066	Oomycota	Phytophthora	Phytophthora nicotianae	ETO67387.1 hypothetical protein F444_15685 [Phytophthora nicotianae P1976]
Pcub-MSU1_004_001126.1	KAF1793231.1	63.0	284	313	2107	4.22e-109	353	87.2	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAF1793231.1 WD40 repeat, conserved site [Phytophthora cactorum]
Pcub-MSU1_004_001126.1	KUF80240.1	73.9	234	313	950	6.39e-109	342	71.2	4792	Oomycota	Phytophthora	Phytophthora nicotianae	KUF80240.1 WD repeat-containing protein 16 [Phytophthora nicotianae]
Pcub-MSU1_004_001126.1	RLN32275.1	67.3	254	313	889	1.11e-107	337	77.0	2483409	Oomycota	Nothophytophthora	Nothophytophthora sp. Chile5	RLN32275.1 hypothetical protein BBJ28_00012065, partial [Nothophytophthora sp. Chile5]
Pcub-MSU1_004_001126.1	RLN91111.1	84.6	188	313	712	9.77e-107	330	60.1	2483409	Oomycota	Nothophytophthora	Nothophytophthora sp. Chile5	RLN91111.1 hypothetical protein BBJ28_00011668, partial [Nothophytophthora sp. Chile5]
