id	source	Description	rnaseq_gene_count_Pcub_MSU1_3dpi	rnaseq_gene_count_Pcub_MSU1_4dpi	rnaseq_gene_count_Pcub_MSU1_5dpi	rnaseq_gene_count_Pcub_MSU1_6dpi
Pcub-MSU1_001_000083.1	eggnog	FKBP-type peptidyl-prolyl cis-trans isomerase	136	469	389	429
Pcub-MSU1_001_000084.1	eggnog	2OG-Fe(II) oxygenase superfamily	7	19	26	24
Pcub-MSU1_001_000877.1	blastp	Homology to Peronospora destructor predicted protein CAI5720845.1	36	149	163	372
Pcub-MSU1_001_000085.1	eggnog	Solute carrier family 35	0	9	19.137	20.556
Pcub-MSU1_001_000086.1	eggnog	Solute carrier family 35	1	0	4	9.444
Pcub-MSU1_001_000087.1	interproscan	G3DSA:3.40.1440.10 domain-containing protein	0	0	0	0
Pcub-MSU1_001_000088.1	blastp	Homology to Phytophthora lilii predicted protein GMF26411.1	0	0	0	0
Pcub-MSU1_001_000876.1	unannotated	Hypothetical protein of unknown function	12	19	28	17
Pcub-MSU1_001_000089.1	eggnog	Solute carrier family 35	0	0	2.863	0
Pcub-MSU1_001_000090.1	eggnog	domain-containing protein	197	362	424	579
Pcub-MSU1_001_000875.1	eggnog	Ammonium Transporter Family	1	2.107	5.033	47.142
Pcub-MSU1_001_000091.1	eggnog	Ammonium Transporter Family	17	14.893	65.332	250.982
Pcub-MSU1_001_000874.1	unannotated	Hypothetical protein of unknown function	2	2	5	9
Pcub-MSU1_001_000873.1	eggnog	Ammonium Transporter Family	23	19	75.635	103.876
Pcub-MSU1_001_000872.1	eggnog	Ammonium Transporter Family	36.968	51.965	86.551	188.864
Pcub-MSU1_001_000092.1	eggnog	Ammonium Transporter Family	1.032	1.035	7.449	7.136
Pcub-MSU1_001_000093.1	eggnog	ATP-dependent Clp protease, ATP-binding subunit ClpX	64	128	156	217
Pcub-MSU1_001_000094.1	eggnog	RIB43A	0	2	2	5
Pcub-MSU1_001_000871.1	blastp	Homology to Peronospora destructor predicted protein CAI5720739.1	6	19	25	41
Pcub-MSU1_001_000095.1	eggnog	Domain present in PSD-95, Dlg, and ZO-1/2	137	73	262	369
Pcub-MSU1_001_000096.1	blastp	Homology to Phytophthora lilii predicted protein GMF11863.1	22	26	69	75
